reference_gene	observe_gene	reference_num	observe_num	observe|reference	reference|observe	clscore
Cr2	Cdh20	73	2442	1	2	0.016725938758823885
Cr2	Gigyf2	73	4718	2	2	0.014628144581652834
Cr2	Adcy2	73	7638	1	1	0.006652084710161676
Cr2	Mxi1	73	5678	1	1	0.007048797290171357
Cr2	Gm28043	73	4828	1	1	0.00728032609008191
Cr2	Bex2	73	85874	1	1	0.004455976478707606
Cr2	Cr2	73	73	73	73	0.9602525677891274
Cr2	Ank2	73	39755	3	4	0.019969057576367348
Cr2	Mtr	73	1014	1	1	0.009939337806628402
Cr2	Rnf19a	73	2649	1	1	0.008225106747420765
